mainid,lastname,result,n_lastname,jeiba_lastname,n_lastname_2,n,N,k
2,  特殊教育,特殊(VH) 教育(Na),特殊 教育,    特殊教育,特殊 教育,50,96,0
2,  體育,體育(Na),體育,    體育,體育,51,96,0
2,社會教育系,社會(Na) 教育(Nc),社會 教育,社會 教育系,社會 教育,52,96,0
2,  教育,教育(Na),教育,    教育,教育,53,96,0
2,特殊教育學系 ,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系  ,特殊 教育 學系,54,96,0
2,社會教育系,社會(Na) 教育(Nc),社會 教育,社會 教育系,社會 教育,55,96,0
2,社會科教育學系,社會科(Na) 教育學系(Na),社會科 教育學系,社會科 教育 學系,社會科 教育學系,56,96,0
2,特殊教育學系,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系,特殊 教育 學系,57,96,0
2,教育系,教育系(Nc),教育系,教育系,教育系,58,96,0
2,特教系,特教系(Nc),特教系,特教 系,特教系,59,96,0
2,幼兒教育學系,幼兒(Na) 教育(Na) 學系(Na),幼兒 教育 學系,幼兒 教育 學系,幼兒 教育 學系,60,96,0
2,  音樂教育,音樂(Na) 教育(Na),音樂 教育,    音樂 教育,音樂 教育,61,96,0
2,  幼保,,幼保,    幼保,,62,96,0
2,教育學系,教育(Na) 學系(Na),教育 學系,教育 學系,教育 學系,63,96,0
2,  初等教育學,教育(Na),教育,    初等教育 學,教育,64,96,0
2,  特殊教育,特殊(VH) 教育(Na),特殊 教育,    特殊教育,特殊 教育,65,96,0
2,  體育學,體育(Na),體育,    體育學,體育,66,96,0
2,  教育學,教育學(Na),教育學,    教育 學,教育學,67,96,0
2,數學教育學系,數學(Na) 教育(Na) 學系(Na),數學 教育 學系,數學 教育 學系,數學 教育 學系,68,96,0
2,數學暨資訊教育學系,數學(Na) 資訊(Na) 教育(Na) 學系(Na),數學 資訊 教育 學系,數學 暨 資訊 教育 學系,數學 資訊 教育 學系,69,96,0
2,  語文教育,語文(Na) 教育(Na),語文 教育,    語文 教育,語文 教育,70,96,0
2,教育系,教育系(Nc),教育系,教育系,教育系,71,96,0
