mainid,lastname,result,n_lastname,jeiba_lastname
2,特殊教育學系 ,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系  
2,  體育,體育(Na),體育,    體育
2,課程設計與潛能開發學系,課程(Na) 設計(Na) 潛能(Na) 開發(VC) 學系(Na),課程 設計 潛能 開發 學系,課程 設計 與 潛能 開 發學系
2,教育與學習科技學系,教育(Na) 學習(VC) 科技(Na) 學系(Na),教育 學習 科技 學系,教育 與 學習 科技 學系
2,社會教育系,社會(Na) 教育(Nc),社會 教育,社會 教育系
2,  社會科教育學,社會科(Na) 教育學(Na),社會科 教育學,    社會科 教育 學
2,  社會科教育,社會科(Na) 教育(Na),社會科 教育,    社會科 教育
2,  幼保,,幼保,    幼保
2,教育系,教育系(Nc),教育系,教育系
2,幼保,幼保(Na),幼保,幼保
2,  幼保,,幼保,    幼保
2,體育系,體育系(Nc),體育系,體育系
2,社會科教育學系 ,社會科(Na) 教育(Na) 學系(Na),社會科 教育 學系,社會科 教育 學系  
2,特殊教育學系,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系
2,幼兒敎育學系,幼兒(Na) 敎育(Nv) 學系(Na),幼兒 敎育 學系,幼兒 敎 育學系
2,教育學系,教育(Na) 學系(Na),教育 學系,教育 學系
2,  教育學,教育學(Na),教育學,    教育 學
2,教育學系,教育(Na) 學系(Na),教育 學系,教育 學系
2,語文教育學系,語文(Na) 教育(Na) 學系(Na),語文 教育 學系,語文 教育 學系
2,體育系,體育系(Nc),體育系,體育系
2,教育系,教育系(Nc),教育系,教育系
2,  特殊教育系,特殊(VH) 教育系(Nc),特殊 教育系,    特殊教育 系
2,人類發展與家庭學系 ,人類(Na) 發展(VC) 家庭學系(Na),人類 發展 家庭學系,人類 發展 與 家庭 學系  
2,教育系,教育系(Nc),教育系,教育系
2,體育系,體育系(Nc),體育系,體育系
2,體育學系,體育(Na) 學系(Na),體育 學系,體育 學系
2,數學教育學系,數學(Na) 教育(Na) 學系(Na),數學 教育 學系,數學 教育 學系
2,自然科學教育學系,自然(Na) 科學(Na) 教育(Na) 學系(Na),自然 科學 教育 學系,自然科 學 教育 學系
2,幼教系,幼教系(Nc),幼教系,幼教 系
2,語文教育系,語文(Na) 教育系(Nc),語文 教育系,語文 教育系
2,工業科技敎育學系,工業(Na) 科技(Na) 敎育(VC) 學系(Na),工業 科技 敎育 學系,工業 科技 敎 育學系
2,  音樂教育,音樂(Na) 教育(Na),音樂 教育,    音樂 教育
2,  語文教育,語文(Na) 教育(Na),語文 教育,    語文 教育
2,  幼保,,幼保,    幼保
2,教育政策與行政學系,教育(Na) 政策(Na) 行政學系(Na),教育 政策 行政學系,教育 政策 與 行政 學系
2,  特殊教育,特殊(VH) 教育(Na),特殊 教育,    特殊教育
2,  初等教育,教育(Na),教育,    初等教育
2,語文教育,語文(Na) 教育(Na),語文 教育,語文 教育
2,  教育學,教育學(Na),教育學,    教育 學
2,特殊教育學,特殊(VH) 教育(Na),特殊 教育,特殊教育 學
2,教育系,教育系(Nc),教育系,教育系
