mainid,midid,lastid,lastname,eduid,result,n_lastname,jeiba_lastname
2,201,20101,教育學系,140101,教育(Na) 學系(Na),教育 學系,教育 學系
2,201,20102,比較教育學系,140102,比較(VC) 教育(Na) 學系(Na),比較 教育 學系,比較 教育 學系
2,201,20103,國民教育學系,140103,國民教育(Na) 學系(Na),國民教育 學系,國民 教育 學系
2,201,20104,多元文化教育學系,140104,多元(VH) 文化(Na) 教育(Na) 學系(Na),多元 文化 教育 學系,多元 文化教育 學系
2,201,20105,課程與教學研究所,140105,課程(Na) 教學(VA) 研究所(Nc),課程 教學 研究所,課程 與 教學 研究所
2,201,20105,課程研究所,140105,課程(Na) 研究所(Nc),課程 研究所,課程 研究所
2,201,20106,教育專業發展研究所,140106,教育(Na) 專業(VH) 發展(Na) 研究所(Nc),教育 專業 發展 研究所,教育 專業 發展 研究所
2,201,20107,教育心理與輔導學系,140107,教育(Na) 心理(Na) 輔導學系(Na),教育 心理 輔導學系,教育 心理 與 輔導 學系
2,201,20107,輔導學系,140107,輔導學系(Nc),輔導學系,輔導 學系
2,201,20108,教育心理與諮商學系,140108,教育(Na) 心理(Na) 諮商(VE) 學系(Na),教育 心理 諮商 學系,教育 心理 與 諮 商學系
2,201,20109,高等教育研究所,140109,教育(Na) 研究所(Nc),教育 研究所,高等教育 研究所
2,201,20110,教學藝術研究所,140110,教學(Nv) 藝術(Na) 研究所(Nc),教學 藝術 研究所,教學 藝術 研究所
2,201,20111,學習與教學研究所,140111,學習(VC) 教學(VA) 研究所(Nc),學習 教學 研究所,學習 與 教學 研究所
2,201,20112,技職教育與人力資源發展研究所,140112,技職(Na) 教育(Na) 人力(Na) 資源(Na) 發展(VC) 研究所(Nc),技職 教育 人力 資源 發展 研究所,技職 教育 與 人力 資源 發展 研究所
2,201,20113,技術及職業教育研究所,140113,技術(Na) 職業(Na) 教育(Na) 研究所(Nc),技術 職業 教育 研究所,技術 及 職業 教育 研究所
2,201,20114,初等教育學系,140114,教育(Na) 學系(Na),教育 學系,初等教育 學系
2,201,20115,教育心理學系,140115,教育(Na) 心理學系(Na),教育 心理學系,教育 心理 學系
2,201,20116,教師專業發展研究所,,教師(Na) 專業(VH) 發展(Na) 研究所(Nc),教師 專業 發展 研究所,教師 專業 發展 研究所
2,201,20117,家庭教育與諮商研究所,140119,家庭(Na) 教育(Na) 諮商(Nv) 研究所(Nc),家庭 教育 諮商 研究所,家庭教育 與 諮 商 研究所
2,201,20118,課程設計與潛能開發學系,140120,課程(Na) 設計(Na) 潛能(Na) 開發(VC) 學系(Na),課程 設計 潛能 開發 學系,課程 設計 與 潛能 開 發學系
2,201,20119,國際文教與比較教育學系,140121,國際(Nc) 文教(Na) 比較(Nv) 教育(Na) 學系(Na),國際 文教 比較 教育 學系,國際 文教 與 比 較 教育 學系
2,202,20201,公民教育與活動領導學系,140201,公民(Na) 教育(Na) 活動(Na) 領導(Nv) 學系(Na),公民 教育 活動 領導 學系,公民 教育 與 活動 領導 學系
2,202,20202,語文教育學系,140202,語文(Na) 教育(Na) 學系(Na),語文 教育 學系,語文 教育 學系
2,202,20203,華語文教學學系,140203,華語文(Na) 教學(VA) 學系(Na),華語文 教學 學系,華語 文教 學學系
2,202,20203,華語教學學系,140203,華語(Na) 教學(VA) 學系(Na),華語 教學 學系,華語 教學學系
2,202,20204,國文教育研究所,140204,國文(Na) 教育(Na) 研究所(Nc),國文 教育 研究所,國文 教育 研究所
2,202,20205,中國語文教育學系,140205,中國(Nc) 語文(Na) 教育(Na) 學系(Na),中國 語文 教育 學系,中國 語文 教育 學系
2,202,20206,自然科學教育學系,140206,自然(Na) 科學(Na) 教育(Na) 學系(Na),自然 科學 教育 學系,自然科 學 教育 學系
2,202,20206,科學教育學系,140206,科學(Na) 教育(Na) 學系(Na),科學 教育 學系,科學 教育 學系
2,202,20207,自然科學系,140207,自然(Na) 科學(Na),自然 科學,自然科 學系
2,202,20208,科學應用與推廣學系,140208,科學(Na) 應用(Na) 推廣(VC) 學系(Na),科學 應用 推廣 學系,科學 應用 與 推廣學系
2,202,20209,數理教育研究所,140209,數理(Na) 教育(Na) 研究所(Nc),數理 教育 研究所,數理 教育 研究所
2,202,20210,數學暨資訊教育學系,140210,數學(Na) 資訊(Na) 教育(Na) 學系(Na),數學 資訊 教育 學系,數學 暨 資訊 教育 學系
2,202,20211,數學教育學系,140211,數學(Na) 教育(Na) 學系(Na),數學 教育 學系,數學 教育 學系
2,202,20212,兒童英語教育學系,140212,兒童(Na) 英語(Na) 教育(Na) 學系(Na),兒童 英語 教育 學系,兒童 英語 教育 學系
2,202,20213,外語教學系,140213,外語(Na) 教學系(Nv),外語 教學系,外語 教學系
2,202,20214,社會科教育學系,140214,社會科(Na) 教育學系(Na),社會科 教育學系,社會科 教育 學系
2,202,20215,人類發展與家庭學系,140215,人類(Na) 發展(VC) 家庭學系(Na),人類 發展 家庭學系,人類 發展 與 家庭 學系
2,202,20216,國小科學教育研究所,140216,國小(Nc) 科學(Na) 教育(Na) 研究所(Nc),國小 科學 教育 研究所,國小科學 教育 研究所
2,202,20217,公民訓育學系,140217,公民(Na) 學系(Na),公民 學系,公民 訓育 學系
2,202,20218,國文教學碩士,140218,國文(Na) 教學(Nv) 碩士(Na),國文 教學 碩士,國 文教 學碩士
2,202,20219,數學教學碩士,140219,數學(Na) 教學(VA) 碩士(Na),數學 教學 碩士,數學 教學 碩士
2,202,20220,臺灣華語教學研究所,140220,臺灣(Nc) 華語(Na) 教學(VA) 研究所(Nc),臺灣 華語 教學 研究所,臺 灣華語 教學 研究所
2,202,20221,公共事務與公民教育學系,140221,事務(Na) 公民(Na) 教育(Na) 學系(Na),事務 公民 教育 學系,公共 事務 與 公民 教育 學系
2,202,20222,社會教育學系,140222,社會(Na) 教育(Na) 學系(Na),社會 教育 學系,社會 教育 學系
